店名,緯度,經度,星級
52 Cafe,24.1333689,120.6625018,4.3
a bao house 大連店,24.1772076,120.6752293,3.5
Akuan Hot Pot,24.1549284,120.6555842,4.3
All-in飽庫,24.1510556,120.6840243,4.2
Anatolia Turkish Restaurant,24.1525659,120.6549585,4.3
Arashi Braised Minced Pork,24.1421029,120.679015,4.2
Banana New Paradise,24.1561695,120.689974,4.1
BANNCHAN 飯饌韓式料理餐廳,24.155973,120.66317,3.8
Blue Grotto Italian Kitchen,24.1476974,120.6634555,4.1
Bollywood Restaurant,24.1570064,120.6632994,4.1
Burger Joint 7分so美式廚房-朝富店,24.1634207,120.6353032,4.6
BurgerJoint 7分SO美式廚房-華美店,24.1535949,120.6591339,4.7
Chagether Yakiniku,24.324537,120.700018,4.3
CHAMONIX Taichung Dalong Branch,24.155197,120.654565,4.4
Chamonix Teppanyaki,24.1724756,120.6650684,4.3
Chang Ka Breakfast Restaurant,24.1799195,120.6685718,4.7
Chien-Yen Shabu Shabu,24.1389329,120.6463525,4.3
Chili's Grill & Bar 美式休閒餐廳 - 臺中老虎城店,24.164165,120.6381258,4.4
Chun Shui Tang Dadun Branch,24.1560591,120.6558031,4.1
Chun Shui Tang Gongyi Branch,24.1498006,120.6643615,4
Chun Shui Tang Shin Kong Mitsukoshi Taichung Branch,24.1647673,120.6434748,3.8
Chun Shui Tang Yucai North Branch,24.1529846,120.6844177,4
Crazy Shrimp Restaurant,24.1345879,120.6631736,3.7
Creekside Thai Food,24.149432,120.6576846,4.3
Din Tai Fung Taichung Branch,24.1647444,120.6446365,4.4
Eat Together Buffet,24.1637002,120.6446167,4.2
Farming Reading Municipal Park Teahouse,24.1579156,120.640352,4.1
Fleur de Sel,24.1602987,120.6349525,4.3
FM STATION,24.1427858,120.6531463,4.2
forchetta 餐廳,24.1610893,120.6421895,4.3
Fourth Credit Union,24.1389704,120.6820167,4.4
Fu Din Wang,24.1452488,120.6765902,4.1
Fullon Hotel Fook Yuet Lau,24.3236467,120.6965099,4.2
Gold Pao Restaurant,24.1553236,120.6656336,3.9
Grazie,24.1517786,120.6847509,4.1
Guang Wei Barbecue Fast Food,24.1504027,120.6603648,3.5
Gulu Gulu Music Dining Room,24.1390322,120.6624809,4.2
Hao Bodhi Vegetarian Restaurant,24.1413431,120.6400107,4
Hao Jia Qingdun Beef Noodle Restaurant,24.0632685,120.6975479,4.1
Hi-Lai Harbour Taichung Branch,24.1556104,120.6615703,4.2
HOT SHOCK 哈燒庫美式餐廳,24.1478292,120.6637882,4.5
hun,24.149876,120.684317,4.4
Hungry Jacob,24.1455026,120.6640096,4.6
Il Volo Pizza,24.147722,120.663139,4.2
I-ramen,24.1498695,120.6848473,3.7
Japanese Shikisai,24.1629143,120.6436893,4.2
Jia Lin Restaurant,24.2865599,120.8688198,3.4
Jing Yue Hong Kong Restaurant,24.1526817,120.6851181,4.3
Juggler cafe（假日無提供訂位）,24.1558514,120.6610184,4.3
Justeat,24.1507418,120.6674613,4.1
Kanpai yakinku,24.1651646,120.6438746,4.4
Karuizawa Gongyi store,24.1511883,120.6540975,4.3
KFC,24.1503174,120.6764808,3.9
Korea Town Restaurant,24.1375605,120.6779856,4.3
KURA SUSHI Taichung Zhongqing Rd. Restaurant,24.1869678,120.6631235,4.2
Lady Lobster 龍蝦小姐,24.1381468,120.6329707,4.3
L'Affection 法森小館,24.1416852,120.6600189,4.5
Lanna Thai Restaurant (Shizheng Rd Shop),24.1618544,120.6347341,4.1
Lao Kouwei Beef Noodle Restaurant,24.0693539,120.6967349,4.2
Las Vegas,24.1431074,120.6654385,4.3
Laya Burger,24.1362215,120.6439926,3.9
Le Ble D'Or,24.1514011,120.6635423,4.3
LEAH力芽,24.1440447,120.641482,4.6
L'espace Cafe 老陳咖啡,24.1352439,120.6635409,4.3
Li Go Curry House,24.131759,120.644465,4
Ludwig,24.1509838,120.6682471,4.4
Marbledot Cafe 瑪寶咖啡 窯烤拿坡里披薩,24.1406261,120.6557011,4.7
Master Chen hotpot,24.1514695,120.6785035,4.2
McDonald's Taichung Xueshi Branch,24.155147,120.6816659,3.9
Mercuries Beef Noodle Restaurant,24.136047,120.6367221,3.8
Miyahara,24.1378278,120.6835552,4.2
MO-MO-PARADISE 台中勤美牧場,24.151429,120.663657,4.7
Morning Brunch House,24.071803,120.6994069,4.3
MOS BURGER Taichung Fengle Shop,24.1351076,120.6417302,3.9
Mr.38 curry legend,24.1821194,120.584259,4.7
Mr.38 咖哩美食餐廳（一中店）,24.1506573,120.6855195,4.5
My Home Steak,24.1743691,120.6714261,3.9
Nantun Pork Feet Rice Noodles,24.1424,120.6381987,4.2
OEC木桶燒,24.3244351,120.69957,1.9
Offer Oh,24.1524772,120.6599502,4.4
Okayama lamb,24.15105,120.65769,4.5
Pash Burger,24.1404606,120.6676654,4.1
Patio Restaurant,24.139171,120.6596282,4.4
Ponderosa,24.1536144,120.6665513,4.1
Qin Yuan Chun,24.1395207,120.6826624,4.1
RAMEN NAGI 豚骨拉麵 凪 - 台中店,24.1641729,120.6377742,4.5
Roundabout Café 圓環咖啡 《大和店》—西區獨立咖啡店勤美人氣早午餐,24.1500218,120.6674507,4.4
R-Star,24.153641,120.6576161,4.5
Ruth's Chris Steak House,24.1565085,120.6595701,4.2
Saboten,24.1647673,120.6434748,3.9
Shandong Dumplings and Noodles,24.1510126,120.6620835,3.8
Shanghai Dim Sum,24.1429711,120.6889336,4.3
ShangShang Dumpling,24.1468144,120.6600309,3.8
