filename,keywords,counts
曼蒂在家義大利麵,餐點,130.0
曼蒂在家義大利麵,義大利麵,111.0
曼蒂在家義大利麵,濃湯,82.0
曼蒂在家義大利麵,環境,75.0
曼蒂在家義大利麵,味道,69.0
曼蒂在家義大利麵,燉飯,47.0
曼蒂在家義大利麵,份量,46.0
曼蒂在家義大利麵,海鮮,46.0
曼蒂在家義大利麵,套餐,44.0
曼蒂在家義大利麵,麵包,43.0
曼蒂在家義大利麵,甜點,41.0
曼蒂在家義大利麵,口味,40.0
曼蒂在家義大利麵,價格,36.0
曼蒂在家義大利麵,食物,33.0
曼蒂在家義大利麵,氣氛,32.0
曼蒂在家義大利麵,人員,29.0
曼蒂在家義大利麵,飲料,29.0
曼蒂在家義大利麵,態度,28.0
曼蒂在家義大利麵,口感,26.0
曼蒂在家義大利麵,朋友,26.0
Sushi Express,壽司,120.0
Sushi Express,人員,88.0
Sushi Express,態度,79.0
Sushi Express,爭鮮,66.0
Sushi Express,食材,63.0
Sushi Express,餐點,54.0
Sushi Express,東西,48.0
Sushi Express,客人,48.0
Sushi Express,鮭魚,39.0
Sushi Express,店員,37.0
Sushi Express,環境,35.0
Sushi Express,生魚片,33.0
Sushi Express,品質,30.0
Sushi Express,時間,28.0
Sushi Express,員工,25.0
Sushi Express,服務員,25.0
Sushi Express,平價,24.0
Sushi Express,感覺,24.0
Sushi Express,服務生,22.0
Sushi Express,食物,21.0
烤狀猿日式燒肉 (一中店),態度,339.0
烤狀猿日式燒肉 (一中店),人員,267.0
烤狀猿日式燒肉 (一中店),食材,167.0
烤狀猿日式燒肉 (一中店),東西,140.0
烤狀猿日式燒肉 (一中店),餐點,115.0
烤狀猿日式燒肉 (一中店),速度,103.0
烤狀猿日式燒肉 (一中店),服務生,100.0
烤狀猿日式燒肉 (一中店),店員,88.0
烤狀猿日式燒肉 (一中店),環境,86.0
烤狀猿日式燒肉 (一中店),品質,84.0
烤狀猿日式燒肉 (一中店),服務員,81.0
烤狀猿日式燒肉 (一中店),食物,66.0
烤狀猿日式燒肉 (一中店),客人,62.0
烤狀猿日式燒肉 (一中店),火鍋,61.0
烤狀猿日式燒肉 (一中店),價位,54.0
烤狀猿日式燒肉 (一中店),整體,54.0
烤狀猿日式燒肉 (一中店),朋友,48.0
烤狀猿日式燒肉 (一中店),飲料,48.0
烤狀猿日式燒肉 (一中店),肉質,48.0
烤狀猿日式燒肉 (一中店),時間,47.0
Akuan Hot Pot,火鍋,73.0
Akuan Hot Pot,湯頭,52.0
Akuan Hot Pot,食材,51.0
Akuan Hot Pot,阿官,45.0
Akuan Hot Pot,環境,38.0
Akuan Hot Pot,味道,34.0
Akuan Hot Pot,價格,33.0
Akuan Hot Pot,態度,31.0
Akuan Hot Pot,人員,30.0
Akuan Hot Pot,冰淇淋,26.0
Akuan Hot Pot,飲料,24.0
Akuan Hot Pot,餐點,23.0
Akuan Hot Pot,客人,22.0
Akuan Hot Pot,店員,21.0
Akuan Hot Pot,裝潢,19.0
Akuan Hot Pot,口味,18.0
Akuan Hot Pot,菜盤,17.0
Akuan Hot Pot,雞肉,16.0
Akuan Hot Pot,肉盤,16.0
Akuan Hot Pot,店長,15.0
Wu Western cuisine,餐點,86.0
Wu Western cuisine,料理,70.0
Wu Western cuisine,甜點,59.0
Wu Western cuisine,麵包,51.0
Wu Western cuisine,口感,40.0
Wu Western cuisine,份量,38.0
Wu Western cuisine,整體,38.0
Wu Western cuisine,主餐,35.0
Wu Western cuisine,牛肉,33.0
Wu Western cuisine,味道,33.0
Wu Western cuisine,主菜,31.0
Wu Western cuisine,感覺,28.0
Wu Western cuisine,環境,27.0
Wu Western cuisine,氣氛,27.0
Wu Western cuisine,食材,27.0
Wu Western cuisine,價位,27.0
Wu Western cuisine,濃湯,26.0
Wu Western cuisine,燉飯,25.0
Wu Western cuisine,米其林,25.0
Wu Western cuisine,菜單,24.0
竹仔腳麵食館（老店）,滷味,396.0
竹仔腳麵食館（老店）,味道,170.0
竹仔腳麵食館（老店）,小菜,119.0
竹仔腳麵食館（老店）,價格,109.0
竹仔腳麵食館（老店）,麻醬麵,90.0
竹仔腳麵食館（老店）,古早味,84.0
竹仔腳麵食館（老店）,口味,81.0
竹仔腳麵食館（老店）,陽春麵,81.0
竹仔腳麵食館（老店）,店家,79.0
竹仔腳麵食館（老店）,湯頭,76.0
竹仔腳麵食館（老店）,乾麵,63.0
竹仔腳麵食館（老店）,魯味,58.0
竹仔腳麵食館（老店）,環境,57.0
竹仔腳麵食館（老店）,生意,52.0
竹仔腳麵食館（老店）,態度,52.0
竹仔腳麵食館（老店）,辣椒,50.0
竹仔腳麵食館（老店）,客人,48.0
竹仔腳麵食館（老店）,麵食,48.0
竹仔腳麵食館（老店）,麵條,44.0
竹仔腳麵食館（老店）,份量,44.0
