店名,緯度,經度,星級
1010 Hunan Cuisine,22.986809,120.197803,4.1
8818 Pizza Restaurant 比薩屋,22.981468,120.206626,4.2
A SHA Tainan Main Restaurant,22.9940875,120.2036807,4.1
A-Cai Beef Soup,22.9994764,120.1614754,4.4
Ahboliau Market Dumpster Noodle,22.9990764,120.2046008,3.6
Anping Lin beef soup,22.9993471,120.1637129,4.1
Bao’an Pasta保安工寓咖啡,22.9294008,120.2310331,4.5
bistro88 義法餐酒館 台南小西門店,22.9872723,120.1998604,4.4
Chen oyster roll,23.0003688,120.1616719,3.4
Chuanben Jia Izakaya Restaurant,23.0029061,120.162491,4.7
Dain-Dain Hamburger Madou,23.1835442,120.253532,4.3
Dain-Dain Hamburger Tainan Chenggong,23.0002036,120.2001967,4.3
Fu Ji meatballs,22.9895611,120.2014923,3.8
Gomix,22.9849521,120.2058904,4.3
Grandma grilled sandwiches,22.9960394,120.2021791,3.9
Gulliver justice Cuisine,22.9859132,120.1952122,4.2
Harry Fast Food,22.9929591,120.1995524,3.7
ISABATI 義薩芭蒂,22.9345247,120.22639,4
La Belle Maison Cafe法國鬍子自家手工甜品咖啡餐廳,23.0013657,120.1641905,4.8
Lao Deng Beef Noodle Restaurant,22.9748268,120.2008086,3.1
Lao Zheng Beef Noodle Restaurant,22.9947871,120.1935037,4
M&M音樂廚房,22.9898086,120.2081175,4.2
MOS BURGER Tainan Jiankang Shop,22.9811294,120.2080917,4.3
Nan Kun Shen seafood restaurant,23.286664,120.1410106,4.1
NEST Restaurant & Bar,22.983308,120.196511,4.6
Overseas Dragon,22.985214,120.1968555,4
Ramen Kagetsu Arashi,22.9868032,120.1982502,3.3
Serious Cafe 西瑞司 ｜義大利麵 風味飯 咖哩 鍋物 中式私房料理 美式漢堡,23.1864015,120.2497591,4.4
Six Thousand Beef Soup,22.9892199,120.1948478,4.2
Thai Town Cuisine - Tainan Ximen Mitsukoshi Store,22.9873418,120.1991126,3.9
The Art Corner Restaurant,22.980984,120.2111469,4.3
The Hut BBQ,22.9838064,120.2110463,4.2
Toast Toast Breakfast stores,22.9815839,120.1998728,4.4
Yamane Sushi,22.9968591,120.2020365,3.6
一風堂台南西門店,22.9873418,120.1991126,3.9
九州豚骨拉麵(南門店),22.9853471,120.2042514,4.1
八峰亭,22.9895517,120.2098308,4.4
上欣快餐,22.9999191,120.2053385,4.4
大菜市包仔王,22.9832113,120.1977073,4.1
小巷裡的拾壹號,22.9931048,120.2075486,4.6
不餓門廣東粥,22.9974876,120.2010109,3.8
日月禪食養生蔬食館,22.9850107,120.2028377,4.4
水仙宮粽葉米糕,22.9965775,120.1984305,4.2
卡加米亞casamia cafe,22.99943,120.201275,4.4
古早味鍋燒意麵,22.9837377,120.2112701,4.3
