店名,top_1,top_2,top_3,top_4,top_5
合歡山冰城,松霖鍋燒始府 SONGLIN NABEYAKI NOODLE,古早味鍋燒意麵,李媽媽民族鍋燒老店,蘇家鍋燒意麵,The Hut BBQ
九州豚骨拉麵(南門店),八峰亭,好麵道拉麵工坊,一風堂台南西門店,Ramen Kagetsu Arashi,廣東沙茶爐夏林店
益田居酒屋,Yamane Sushi,新松子日本料理,和森鮓 日本料理握壽司丼飯定食燒物〈人氣日料推薦〉〈中西區日式餐廳〉〈必吃丼飯〉〈特色日料〉〈特色握壽司〉〈必吃日料〉,饗食天堂 台南店,The Hut BBQ
阿美飯店,A SHA Tainan Main Restaurant,1010 Hunan Cuisine,歡喜樓,喬美海鮮碳烤餐廳,新松子日本料理
阿龍香腸熟肉,永記虱目魚丸,阿和肉燥飯,梅鑫海產店,好地方蝦仁肉絲飯,疆疆串燒烤肉專賣店
富盛號,麻豆助碗粿,安平許家,台南度小月担仔面,度小月擔仔麵 中正旗艦店|台南小吃|台南美食|特色小吃,阿堂鹹粥
邊疆燒烤,疆疆串燒烤肉專賣店,秋收炭烤,The Hut BBQ,鬥牛士二鍋中山店,請上桌 戶外海景海鮮燒烤餐廳
La Belle Maison Cafe法國鬍子自家手工甜品咖啡餐廳,小巷裡的拾壹號,M&M音樂廚房,Bao’an Pasta保安工寓咖啡,慶中街糖人館,驢子散步西班牙Home Dining（預約制）
葉家小卷米粉,廣東沙茶爐夏林店,東北酸白菜火煱,李媽媽民族鍋燒老店,桃花源,松霖鍋燒始府 SONGLIN NABEYAKI NOODLE
Fu Ji meatballs,安平許家,安平貴記美食文化館,台南度小月担仔面,度小月擔仔麵 中正旗艦店|台南小吃|台南美食|特色小吃,鄭記蔥肉餅-西門店「原府前店」
客再來當歸鴨美食坊,台南度小月担仔面,水仙宮粽葉米糕,保安路米糕,度小月原始店Du Hsiao Yueh Original Restaurant,A SHA Tainan Main Restaurant
粘記牛肉麵,桃花源,Lao Zheng Beef Noodle Restaurant,Lao Deng Beef Noodle Restaurant,董家牛肉麵店,極牛溫體牛肉火鍋餐廳
早安美芝城台南開山概念店,早安山丘（仁德保安）,喜得炭火燒三明治-台南民族店,Gulliver justice Cuisine,bistro88 義法餐酒館 台南小西門店,陶板屋 台南忠義店
養蚵世家,歐家蚵仔煎安平蚵仔煎安平美食安平老街美食安平老街小吃台南小吃台南蚵仔煎,古堡蚵仔煎專賣店,Chen oyster roll,瑞珍蝦仁餛飩,瑞珍台南小吃
鄭記蔥肉餅-西門店「原府前店」,台南度小月担仔面,阿堂鹹粥,度小月擔仔麵 中正旗艦店|台南小吃|台南美食|特色小吃,度小月原始店Du Hsiao Yueh Original Restaurant,疆疆串燒烤肉專賣店
集品蝦仁飯,好地方蝦仁肉絲飯,阿堂鹹粥,安平許家,不餓門廣東粥,台南度小月担仔面
Bao’an Pasta保安工寓咖啡,驢子散步西班牙Home Dining（預約制）,初食手作廚房早午餐義大利麵（店休看臉書）,慶中街糖人館,M&M音樂廚房,沛里歐早午餐鬆餅咖啡館(店休日請看FBIG)
饗食天堂 台南店,新松子日本料理,鬥牛士二鍋中山店,喬美海鮮碳烤餐廳,陶板屋 台南忠義店,請上桌 戶外海景海鮮燒烤餐廳
Toast Toast Breakfast stores,宜華蛋餅（麻豆興中店）,徐媽媽早點,早安美芝城台南開山概念店,喜得炭火燒三明治-台南民族店,早安山丘（仁德保安）
永樂燒肉飯,初食手作廚房早午餐義大利麵（店休看臉書）,卡加米亞casamia cafe,台南度小月担仔面,Yamane Sushi,度小月擔仔麵 中正旗艦店|台南小吃|台南美食|特色小吃
ISABATI 義薩芭蒂,bistro88 義法餐酒館 台南小西門店,Gulliver justice Cuisine,米約廚房 Mi Yueh Kitchen,布老虎廚坊,Gomix
8818 Pizza Restaurant 比薩屋,橋北屋日本家庭料理-忠義店,潘奇堡咖啡‧輕食,Dain-Dain Hamburger Tainan Chenggong,Dain-Dain Hamburger Madou,ISABATI 義薩芭蒂
阿堂鹹粥,台南度小月担仔面,度小月原始店Du Hsiao Yueh Original Restaurant,疆疆串燒烤肉專賣店,永記虱目魚丸,度小月擔仔麵 中正旗艦店|台南小吃|台南美食|特色小吃
Gulliver justice Cuisine,bistro88 義法餐酒館 台南小西門店,米約廚房 Mi Yueh Kitchen,布老虎廚坊,ISABATI 義薩芭蒂,蘋果森林休閒餐飲
Nan Kun Shen seafood restaurant,梅鑫海產店,喬美海鮮碳烤餐廳,The Hut BBQ,強棒友魚海鮮,請上桌 戶外海景海鮮燒烤餐廳
阿龍意麵,蘇家鍋燒意麵,保安鹽水手工意麵,松霖鍋燒始府 SONGLIN NABEYAKI NOODLE,古早味鍋燒意麵,大菜市包仔王
陶板屋 台南忠義店,夏慕尼新香榭鉄板燒台南公園南店,bistro88 義法餐酒館 台南小西門店,蘋果森林休閒餐飲,Gulliver justice Cuisine,ISABATI 義薩芭蒂
米約廚房 Mi Yueh Kitchen,蘋果森林休閒餐飲,Gulliver justice Cuisine,bistro88 義法餐酒館 台南小西門店,ISABATI 義薩芭蒂,Gomix
廟邊海產,梅鑫海產店,強棒友魚海鮮,喬美海鮮碳烤餐廳,Nan Kun Shen seafood restaurant,阿美深海鮮魚湯
鬥牛士二鍋中山店,秋澄壽喜燒專門店,逐鹿炭火燒肉,老乾杯 台南西門店,饗食天堂 台南店,請上桌 戶外海景海鮮燒烤餐廳
翰林茶館（台南西門店）,鬥牛士二鍋中山店,Thai Town Cuisine - Tainan Ximen Mitsukoshi Store,早安山丘（仁德保安）,饕公麻辣燙,陶板屋 台南忠義店
