店名,緯度,經度,星級
12 Hot Pot Carrefour Guilin store,25.037703,121.506182,4.1
191 enjoy 早餐店,24.9934696,121.5740243,4.2
21 Food Studio,25.0698689,121.5196623,3.7
3隻小雞鹹酥雞,25.069873,121.510975,3.5
77 Lane Yakiniku House,25.0391498,121.5257153,4.3
8 Way Pot Stickers,25.0707187,121.5189416,3.5
A-bao house阿寶早午餐 政大店,24.9891521,121.5736416,4
Acoustic Cafe,25.0890236,121.5181052,4.2
Alleycat's Pizza,25.0442106,121.5293415,3.6
Apple 203 Taipei 203 Shop,25.034362,121.507419,3.3
Ba Wei Ginger Duck,25.0327209,121.5003979,4
Boon Keng Chicken,25.0439034,121.5277988,4.1
Boulevard Cafe 林蔭美式餐酒食,25.0973739,121.5442214,4.8
BREMEN,25.0970553,121.5241851,4.3
Buffalo American Restaurant BFLO,25.0799505,121.5482273,4.2
Casa della Pasta Dazhi Restaurant,25.082827,121.5471249,3.8
Chien Tu Shabu Shabu,25.1016844,121.5232754,4.1
Chien Tu Taipei Yanping Branch,25.0661533,121.5108827,4.5
Chongqing Soymilk and Fried Egg,25.0744676,121.5150754,4.1
Coffee Alley,25.0949519,121.5250049,3.7
Cube Brunch,25.0442114,121.5248566,4.3
Cui Lin Vietnamese Restaurant,25.0410616,121.5333968,3.9
Daqiaotou rice cakes,25.0648975,121.5112314,4.2
Dazhi Denwell,25.0837472,121.5548008,4.1
Domino's Pizza,25.0957669,121.521495,3.9
Dong Yea,25.0402904,121.533546,4.2
Dragon Restaurant,25.0503539,121.5244483,4.2
Ducky Restaurant,25.0409815,121.5282245,4.5
Fish 180 Shilin Branch,25.094393,121.524913,3.8
Fool’s Noodle Yanping Shop,25.0354302,121.5078009,3.6
Formosa Chang Taipei NanChang Restaurant,25.0311804,121.5171756,3.5
Friends of Armed Forces Taipei Hero House Restaurant,25.0402858,121.508698,3.9
Fuhang Soy Milk,25.0442451,121.5247397,4
Gan Quan Fish Noodle,24.9893155,121.5736452,3.7
Giguo,25.0424957,121.5138702,4.6
Go! Cafe 早午餐,24.9893744,121.5736478,4.2
Guest House,25.044655,121.5217022,4.4
Happiness Cafe,25.0944538,121.5252838,3.9
Hong Lu Steak House,25.0380695,121.5271075,4.3
hot 7 Plus Carrefour Guilin Restaurant,25.0377693,121.5060948,4
hot 7 Taipei Chang'an East Branch,25.0483286,121.5338669,4
Hu Xu Zhang Taipei Nanmen Restaurant,25.0351926,121.507739,3.8
Hui Tien Vegetarianism,25.094282,121.5221867,4.2
Hwa Lin Noodles,25.0378833,121.5080349,4.5
IPPUDO Zhongshan Main Store,25.0505607,121.5221736,4.2
Jin Feng Braised Pork Rice,25.0320264,121.5184989,3.9
Jinan Beef Noodle Restaurant,25.0401427,121.5320733,4.4
Jinan Fresh Steam Dumpling,25.0400635,121.5343375,4
Jipin Fried Dumpling,25.0968077,121.5214484,4.4
Jiushi Niu Beef Noodle Restaurant,25.0351283,121.5079807,4
Ju Lindalong Breakfast Restaurant,25.074548,121.5153151,4.2
La Fusion,25.0362632,121.5068994,3.5
Lao Zhang Beef Noodle Restaurant,25.0388603,121.5255356,3.8
Laoxiong beef noodle shop,25.0321391,121.5158005,4.2
Le Lee Brother's No. 44 Bistro,24.9914219,121.57353,4.8
Lin Jiang Beef Noodle Restaurant,25.0901064,121.5102588,4.3
Long Izakaya Restaurant,25.0512892,121.52615,4.1
Macau Hotpot,25.049036,121.5263748,4
Mai Hsiang Yuen Handmade Pizza,24.99728,121.573887,4.4
MAJI Square,25.0697435,121.5221519,4.1
McDonald's,25.0445611,121.5168731,3.8
McDonald's Taipei Zoo,24.9987503,121.581831,3.9
Meat Bun Shop,24.9982598,121.5744345,4.5
Mercuries Beef Noodle Shilin Restaurant,25.0945624,121.5231486,3.6
Mitsui Cuisine Mingshui 2,25.0817421,121.5524364,4
Momoya Japanese Cuisine Taipei,25.0303577,121.5171492,3.7
MOS BURGER Nanchang Shop,25.0317155,121.5167218,3.8
MOS BURGER Qingnian Shop,25.0255556,121.5041667,3.9
Mr. Light 輕食先生｜健康餐｜低GI｜客製化輕食,24.989908,121.573611,4.5
Nationwide Healthy Vegetarian (Datong Branch),25.0711348,121.5158126,4.1
Natural Taiwan Restaurant,25.0316528,121.519363,4
No. 9 Ramen,25.0720479,121.5179646,4.1
Old Noodle Shop,25.0703643,121.5116522,4.3
Papa Pig 早午餐,24.9994808,121.5738778,4.4
Pizza Pub,25.044576,121.5224941,4.2
Ruins Coffee Roasters,24.9907454,121.5710489,4.4
Second Floor Café Renai Store,25.0379175,121.5324159,4.3
Shabu Shabu Nabe,25.0513668,121.5275574,4.3
Shanghai Country Restaurant,25.0408308,121.5297239,4.2
Silks Palace,25.1012506,121.5477983,4.1
Smelly boss now steamed tofu - shop,25.0281283,121.5061458,4
Su Hung,25.043022,121.519646,4.2
Subway,25.1381281,121.5025854,3.3
Subway 承德圓山店,25.0722845,121.5190159,4.1
Sui. Izakaya Restaurant,25.0484185,121.5272802,4.1
SUKHOTHAI,25.0446833,121.5218944,4.2
Sukiya Shilin Restaurant,25.0947539,121.5240643,4
Sukiya Yuanshan Restaurant,25.0720501,121.5192592,4
Sushi Express Jihe Branch,25.092697,121.520346,4.4
Sushi Express Nanjichang,25.0265593,121.5067579,3.8
Taiwan fried chicken founding headquarters,25.0797107,121.5466297,4.1
Taiwan Player Bistro 2,24.9984807,121.5704915,4.7
Takumi Dumplings,25.0412899,121.5267885,4.3
TASTY西堤牛排 台北南京東店,25.0522906,121.5283747,4.1
Teishoku 8 Nanmen Restaurant,25.0332444,121.5181789,3.9
The Door,25.083309,121.54774,4.2
The Kitchenette,25.070708,121.5195339,3.7
The Three Lions Inn,25.06895,121.5220772,4
Ting屋食堂,25.0909178,121.5181654,4.4
Tonkatsu Shilin Branch,25.094737,121.524813,3.5
