filename,keywords,counts
樂居酒屋日式創作料理,料理,18.0
樂居酒屋日式創作料理,老闆娘,17.0
樂居酒屋日式創作料理,環境,8.0
樂居酒屋日式創作料理,牛蒡,8.0
樂居酒屋日式創作料理,氣氛,6.0
樂居酒屋日式創作料理,東西,5.0
樂居酒屋日式創作料理,創意,5.0
樂居酒屋日式創作料理,特色,5.0
樂居酒屋日式創作料理,聚會,5.0
樂居酒屋日式創作料理,感覺,5.0
樂居酒屋日式創作料理,居酒屋,5.0
樂居酒屋日式創作料理,食物,4.0
樂居酒屋日式創作料理,地方,4.0
樂居酒屋日式創作料理,餐點,4.0
樂居酒屋日式創作料理,苦瓜,4.0
樂居酒屋日式創作料理,朋友,4.0
樂居酒屋日式創作料理,菜色,3.0
樂居酒屋日式創作料理,食材,3.0
樂居酒屋日式創作料理,老闆娘人,3.0
樂居酒屋日式創作料理,松阪,3.0
12 Hot Pot Carrefour Guilin store,火鍋,94.0
12 Hot Pot Carrefour Guilin store,時間,86.0
12 Hot Pot Carrefour Guilin store,石二鍋,84.0
12 Hot Pot Carrefour Guilin store,食材,82.0
12 Hot Pot Carrefour Guilin store,人員,60.0
12 Hot Pot Carrefour Guilin store,態度,57.0
12 Hot Pot Carrefour Guilin store,品質,50.0
12 Hot Pot Carrefour Guilin store,湯頭,49.0
12 Hot Pot Carrefour Guilin store,店員,48.0
12 Hot Pot Carrefour Guilin store,飲料,47.0
12 Hot Pot Carrefour Guilin store,價格,45.0
12 Hot Pot Carrefour Guilin store,環境,45.0
12 Hot Pot Carrefour Guilin store,東西,44.0
12 Hot Pot Carrefour Guilin store,cp值,43.0
12 Hot Pot Carrefour Guilin store,味道,36.0
12 Hot Pot Carrefour Guilin store,冬瓜,34.0
12 Hot Pot Carrefour Guilin store,客人,33.0
12 Hot Pot Carrefour Guilin store,小時,32.0
12 Hot Pot Carrefour Guilin store,醬料,31.0
12 Hot Pot Carrefour Guilin store,平價,30.0
Domino's Pizza,態度,32.0
Domino's Pizza,披薩,27.0
Domino's Pizza,客人,19.0
Domino's Pizza,店員,18.0
Domino's Pizza,人員,16.0
Domino's Pizza,電話,14.0
Domino's Pizza,口味,13.0
Domino's Pizza,餅皮,13.0
Domino's Pizza,美樂,12.0
Domino's Pizza,訂單,12.0
Domino's Pizza,時間,11.0
Domino's Pizza,速度,11.0
Domino's Pizza,網路,10.0
Domino's Pizza,小時,10.0
Domino's Pizza,店家,10.0
Domino's Pizza,活動,10.0
Domino's Pizza,員工,9.0
