店名,top_1,top_2,top_3,top_4,top_5
煇煌川菜小館,徐記川菜,YuFang SiChuan Restaurant,Natural Taiwan Restaurant,鮮定味生猛活海鮮,金山客家小館
A-bao house阿寶早午餐 政大店,Acoustic Cafe,Apple 203 Taipei 203 Shop,Second Floor Café Renai Store,呷尚寶士商店,Go! Cafe 早午餐
Shanghai Country Restaurant,松滿樓,Su Hung,Natural Taiwan Restaurant,YuFang SiChuan Restaurant,鮮定味生猛活海鮮
魏祥記純糖麻糬,出一張嘴日式燒肉(南京店),Yakiniku House,Totally Creative,賣麵郎 刀切牛肉麵館,3隻小雞鹹酥雞
北平上園樓(山西餐廳),松滿樓,YuFang SiChuan Restaurant,Natural Taiwan Restaurant,士林廣澤擔仔麵 芝山捷運站美食 士林排隊美食(士林 天母 芝山 推薦人氣餐廳 平價 美食 小吃),Su Hung
Sukiya Shilin Restaurant,Sukiya Yuanshan Restaurant,Yoshinoya Chongqing North Road,Apple 203 Taipei 203 Shop,Teishoku 8 Nanmen Restaurant,MOS BURGER Qingnian Shop
Fish 180 Shilin Branch,漁陶屋 日式料理,Teishoku 8 Nanmen Restaurant,揚屋大眾日式料理,青園食堂,魚吉日本料理
四川台師傅牛肉麵,Zhishan Shi Beef Noodle Restaurant,Jiushi Niu Beef Noodle Restaurant,Jinan Beef Noodle Restaurant,Lao Zhang Beef Noodle Restaurant,Laoxiong beef noodle shop
Jinan Beef Noodle Restaurant,Lao Zhang Beef Noodle Restaurant,Laoxiong beef noodle shop,Zhishan Shi Beef Noodle Restaurant,Jiushi Niu Beef Noodle Restaurant,Lin Jiang Beef Noodle Restaurant
Papa Pig 早午餐,早吧 Morning Bar,米拉圖鳥花園,The Kitchenette,早安找點,A-bao house阿寶早午餐 政大店
Yu Shan Ge,Hui Tien Vegetarianism,休閒食堂,全國素食士林店,蔬福創意蔬食料理【純素、奶素】,Mitsui Cuisine Mingshui 2
賢記麵疙瘩(南機場店),Jiushi Niu Beef Noodle Restaurant,Gan Quan Fish Noodle,Laoxiong beef noodle shop,藍記麻辣鍋,椒房殿麻辣鴛鴦火鍋
阿貴牛排,蘑菇牛排坊,大佬牛牛排館（原牛老大）,Hong Lu Steak House,TASTY西堤牛排 台北南京東店,hot 7 Taipei Chang'an East Branch
川铺子28号,巴東蜀味,樂居酒屋日式創作料理,蔬福創意蔬食料理【純素、奶素】,阿香海產店,敘緣小館
MAJI Square,狸貓酒食屋,海旺角生猛熱炒料理活海鮮,大村武串燒居酒屋-士林店,鮮定味生猛活海鮮,The Three Lions Inn
管麵素食麵館,Smelly boss now steamed tofu - shop,Mai Hsiang Yuen Handmade Pizza,士林廣澤擔仔麵 芝山捷運站美食 士林排隊美食(士林 天母 芝山 推薦人氣餐廳 平價 美食 小吃),蔬福創意蔬食料理【純素、奶素】,大龍街香菇肉粥
Wu-Tau Chishang Lunchbox Taipei Nanhai Shop,池上傳統便當,Wu-Tau Chishang Lunchbox Shilin Zhongzheng Shop,Momoya Japanese Cuisine Taipei,小劉排骨飯專賣店,香港榮華燒臘
Gan Quan Fish Noodle,藍記麻辣鍋,賣麵郎 刀切牛肉麵館,Macau Hotpot,Ba Wei Ginger Duck,三媽臭臭鍋
Trattoria al Sole 豔陽下義大利小餐館,Casa della Pasta Dazhi Restaurant,Ducky Restaurant,Pizza Pub,Le Lee Brother's No. 44 Bistro,Buffalo American Restaurant BFLO
Smelly boss now steamed tofu - shop,管麵素食麵館,大龍街香菇肉粥,士林廣澤擔仔麵 芝山捷運站美食 士林排隊美食(士林 天母 芝山 推薦人氣餐廳 平價 美食 小吃),Mai Hsiang Yuen Handmade Pizza,敘緣小館
甲林鐵板燒JEA LIN,hot 7 Plus Carrefour Guilin Restaurant,南山鐵板燒,徐記川菜,hot 7 Taipei Chang'an East Branch,鮮定味生猛活海鮮
津津豆漿,早吧 Morning Bar,Chongqing Soymilk and Fried Egg,至誠豆漿坊,Tzao Dien Breakfast,Fuhang Soy Milk
Hwa Lin Noodles,Fool’s Noodle Yanping Shop,林家乾麵,Old Noodle Shop,意麵王（士林店）,老德記手工拉麵店
Hong Lu Steak House,蘑菇牛排坊,阿貴牛排,TASTY西堤牛排 台北南京東店,大佬牛牛排館（原牛老大）,Ducky Restaurant
新東南海鮮餐廳 汀州店,川之流長安店—肉品海鮮任你選 | 中山區火鍋 | 長安東路餐廳 | 濕式熟成牛肉 | 附自助吧檯 | 甜品櫃 | 火鍋,鮮定味生猛活海鮮,Shabu Shabu Nabe,狸貓酒食屋,阿香海產店
